CustId,Date,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
1926,3/20/2024,3,5,5,1,5,4,4,5,4
1927,4/24/2024,5,1,2,2,1,3,3,2,5
1928,4/22/2024,4,2,2,4,3,3,4,2,2
1929,4/13/2024,1,2,4,3,4,1,4,3,1
1930,5/6/2024,3,1,2,2,3,3,1,3,3
1931,3/22/2024,3,4,1,2,2,3,4,1,1
1932,4/29/2024,5,4,3,3,2,1,3,3,5
1933,6/2/2024,2,3,3,5,1,5,4,3,4
1934,3/29/2024,1,4,1,5,4,2,1,4,2
1935,5/6/2024,2,4,4,4,1,2,4,3,1
1936,3/22/2024,4,5,3,3,3,4,3,4,2
1937,6/2/2024,2,2,5,3,3,2,2,3,1
1938,4/28/2024,2,4,5,2,4,3,1,2,5
1939,6/25/2024,5,5,5,5,4,3,1,2,4
1940,4/8/2024,1,2,5,4,3,4,5,3,1
1941,5/19/2024,1,1,3,2,1,4,3,2,1
1942,5/22/2024,5,1,5,1,3,5,3,5,5
1943,4/17/2024,4,1,4,5,3,1,5,3,5
1944,5/11/2024,5,3,4,2,2,2,4,5,2
1945,6/26/2024,2,2,1,1,1,3,1,5,5
1946,4/28/2024,3,5,1,3,5,1,2,1,4
1947,3/23/2024,2,4,3,4,4,2,3,2,1
1948,5/9/2024,2,5,1,5,3,3,2,4,2
1949,5/1/2024,4,2,4,4,1,3,1,4,5
1950,4/7/2024,4,2,5,2,1,4,1,2,4
1951,4/19/2024,1,4,5,1,4,4,4,4,5
1952,6/27/2024,5,4,1,2,1,3,1,1,5
1953,4/13/2024,2,4,5,2,5,1,2,1,2
1954,3/25/2024,2,4,4,2,3,2,5,1,1
1955,6/11/2024,2,1,3,5,3,4,2,3,3
1956,5/29/2024,1,2,5,4,4,4,1,2,5
1957,6/23/2024,5,2,2,4,2,2,3,1,1
1958,3/21/2024,1,4,5,3,1,2,4,2,1
1959,5/27/2024,3,3,3,2,2,3,3,4,2
1960,4/27/2024,5,2,5,3,4,3,5,1,4
1961,4/24/2024,5,4,4,5,2,5,3,1,1
1962,3/27/2024,5,1,2,1,5,4,3,5,2
1963,4/15/2024,2,4,3,4,2,4,4,2,3
1964,6/9/2024,3,1,5,5,2,1,4,4,3
1965,4/6/2024,4,1,5,1,5,1,2,4,3
1966,5/28/2024,4,4,4,5,3,1,2,2,1
1967,6/9/2024,3,4,4,3,4,2,2,2,4
1968,6/1/2024,1,1,4,2,3,3,3,2,4
1969,6/20/2024,4,1,5,3,5,2,4,5,3
1970,5/27/2024,5,2,5,1,4,1,1,1,4
1971,5/23/2024,4,1,1,4,4,2,5,1,2
1972,3/18/2024,1,4,1,4,4,3,1,2,4
1973,5/7/2024,5,4,2,3,4,5,4,1,5
1974,4/18/2024,2,5,3,3,5,1,2,3,5
1975,3/27/2024,2,1,1,4,1,2,3,3,4
1976,3/24/2024,3,4,2,4,3,4,1,2,3
1977,4/29/2024,5,4,1,4,2,3,4,2,5
1978,5/30/2024,1,3,5,4,1,5,3,5,4
1979,4/22/2024,3,4,4,1,4,1,4,2,1
1980,5/12/2024,2,3,3,1,3,2,3,1,4
1981,3/28/2024,3,3,1,2,3,5,1,1,5
1982,5/2/2024,4,4,2,4,5,2,3,1,4
1983,3/22/2024,2,5,1,2,2,4,1,5,1
1984,5/15/2024,1,4,3,3,4,4,2,5,4
1985,4/15/2024,1,1,1,5,5,1,3,2,1
1986,5/24/2024,4,3,3,3,5,5,2,5,3
1987,3/19/2024,4,2,5,4,1,4,5,2,2
1988,3/29/2024,3,1,1,5,5,1,4,3,5
1989,6/10/2024,2,3,4,3,3,4,2,5,1
1990,6/15/2024,2,3,4,3,3,1,1,3,5
1991,5/12/2024,1,5,4,2,3,4,2,2,2
1992,5/18/2024,4,3,2,4,5,1,4,3,4
1993,3/21/2024,4,4,1,4,3,1,5,4,5
1994,5/11/2024,2,1,2,3,1,3,4,1,1
1995,3/23/2024,4,5,5,1,4,2,2,2,2
1996,6/9/2024,3,2,2,2,5,1,2,3,5
1997,3/21/2024,3,4,1,3,2,5,3,4,3
1998,3/20/2024,5,5,5,3,4,5,4,5,4
1999,4/7/2024,3,5,5,5,5,1,2,3,3
2000,3/21/2024,5,5,2,3,4,5,4,1,2
2001,6/3/2024,4,1,4,1,4,3,3,3,5
2002,5/18/2024,2,2,3,1,4,4,1,1,2
2003,3/17/2024,3,2,2,2,4,1,3,2,1
2004,3/23/2024,1,4,3,2,1,1,5,1,4
2005,3/26/2024,4,2,3,1,2,4,5,3,4
2006,5/3/2024,2,3,3,5,1,2,3,1,3
2007,3/22/2024,3,2,2,5,2,3,5,2,2
2008,4/23/2024,2,1,4,3,2,3,1,2,2
2009,3/30/2024,3,1,5,5,5,2,3,5,4
2010,6/22/2024,3,2,2,5,5,1,1,3,2
2011,6/6/2024,2,2,2,3,5,2,4,1,4
2012,5/31/2024,2,1,4,5,1,1,1,3,5
2013,4/14/2024,3,4,4,5,1,3,5,5,4
2014,4/3/2024,2,2,3,3,1,1,4,1,2
2015,3/25/2024,4,3,5,2,3,4,1,5,1
2016,3/28/2024,3,4,1,4,1,5,1,4,1
2017,3/26/2024,1,5,3,5,2,2,4,3,5
2018,3/29/2024,4,3,3,5,3,5,5,4,4
2019,5/6/2024,3,1,1,4,4,1,3,5,3
2020,6/14/2024,1,2,4,4,3,5,5,3,4
2021,3/19/2024,5,5,3,5,5,5,4,2,2
2022,3/27/2024,4,1,3,3,2,3,1,4,4
2023,4/15/2024,1,3,5,4,3,5,5,2,2
2024,4/27/2024,5,3,4,5,4,3,1,3,3
2025,4/11/2024,5,2,4,3,2,2,3,4,5
2026,3/22/2024,4,2,1,2,4,5,5,2,1
2027,6/27/2024,4,3,1,3,1,3,5,1,1
2028,6/19/2024,5,4,5,3,4,4,3,2,2
2029,3/21/2024,4,2,2,3,5,2,5,5,3
2030,4/20/2024,5,2,4,1,2,5,5,5,5
2031,3/20/2024,3,5,3,4,2,4,2,2,4
2032,5/12/2024,3,5,1,4,2,4,4,2,5
2033,3/29/2024,5,4,3,4,5,4,2,5,2
2034,4/13/2024,3,1,4,5,2,5,3,3,4
2035,6/14/2024,2,1,2,1,4,3,5,3,2
2036,5/25/2024,5,4,1,4,5,2,5,3,5
2037,6/28/2024,2,2,2,4,3,3,4,4,1
2038,4/1/2024,2,4,2,3,5,3,5,3,1
2039,6/23/2024,5,3,3,3,3,2,4,1,1
2040,3/19/2024,5,2,3,4,3,4,4,1,3
2041,6/7/2024,2,1,1,4,4,2,4,5,2
2042,6/18/2024,1,2,2,4,4,4,3,3,4
2043,6/18/2024,4,3,5,1,4,1,3,3,4
2044,5/20/2024,1,5,2,2,2,4,4,1,1
2045,6/2/2024,1,3,5,5,4,2,1,2,2
2046,3/19/2024,1,4,3,5,5,5,4,2,1
2047,3/23/2024,1,3,4,1,1,1,2,3,1
2048,4/27/2024,4,3,3,5,3,2,2,3,4
2049,5/12/2024,4,2,3,1,1,2,2,2,3
2050,6/8/2024,5,3,2,5,5,5,5,3,3
2051,6/5/2024,3,2,5,3,3,5,3,4,4
2052,5/15/2024,4,2,1,2,1,4,5,1,3
2053,4/9/2024,5,1,5,3,5,1,3,2,5
2054,4/25/2024,4,1,4,5,1,3,4,2,4
2055,3/23/2024,5,1,5,1,5,3,4,5,4
2056,3/30/2024,1,4,4,3,2,1,1,1,3
2057,3/23/2024,2,5,4,2,1,1,2,2,5
2058,4/4/2024,1,5,1,2,5,2,2,4,1
2059,5/21/2024,1,1,3,1,4,5,2,2,5
2060,4/24/2024,5,2,3,1,1,2,5,4,4
2061,6/6/2024,3,2,1,3,2,3,4,5,5
2062,3/17/2024,3,1,4,5,1,5,5,3,5
2063,4/15/2024,5,5,3,2,1,1,3,5,4
2064,5/10/2024,5,2,2,2,3,4,3,2,5
2065,3/22/2024,1,4,3,4,3,4,2,4,1
2066,6/22/2024,4,2,1,3,5,3,2,5,4
2067,6/22/2024,5,4,3,5,2,5,5,3,2
2068,5/26/2024,2,1,5,4,3,1,4,1,4
2069,3/30/2024,5,4,2,3,3,3,3,2,4
2070,6/8/2024,3,1,1,3,3,4,1,2,3
2071,3/18/2024,4,5,5,2,4,1,3,1,3
2072,6/24/2024,5,2,1,4,3,5,4,2,5
2073,4/9/2024,5,3,4,2,1,2,5,1,1
2074,3/30/2024,4,3,3,1,1,1,4,5,3
2075,4/20/2024,2,5,1,2,2,2,2,1,1
2076,5/31/2024,1,2,2,3,4,4,4,5,3
2077,6/16/2024,3,5,5,5,5,4,5,1,3
2078,5/3/2024,4,3,3,1,4,1,1,2,2
2079,4/5/2024,2,1,3,2,4,2,2,5,4
2080,5/29/2024,3,5,2,2,5,3,5,3,1
2081,4/4/2024,2,3,4,4,2,1,2,1,2
2082,3/21/2024,3,4,3,4,3,3,2,5,5
2083,5/27/2024,5,1,5,2,1,5,5,4,5
2084,6/13/2024,4,1,5,3,3,2,2,3,2
2085,4/20/2024,3,1,2,4,3,3,4,5,5
2086,4/20/2024,4,5,3,5,2,1,4,3,4
2087,6/14/2024,5,4,2,4,1,5,1,3,5
2088,6/22/2024,2,3,4,1,4,2,3,3,3
2089,6/4/2024,3,4,2,3,5,2,1,1,3
2090,4/30/2024,3,5,2,1,2,2,3,1,2
2091,5/13/2024,5,1,5,2,1,5,4,3,3
2092,5/14/2024,3,4,1,4,2,2,5,3,3
2093,6/29/2024,5,3,3,3,5,1,2,1,4
2094,6/7/2024,4,2,4,2,3,2,1,2,1
2095,6/8/2024,1,5,1,4,5,3,1,4,5
2096,5/7/2024,4,5,4,1,3,4,2,4,2
2097,4/6/2024,4,4,1,5,5,2,5,1,1
2098,5/26/2024,4,3,2,4,5,5,4,2,2
2099,6/16/2024,5,5,4,3,3,1,5,5,2
2100,3/18/2024,5,1,5,4,4,2,3,4,2
2101,4/19/2024,4,2,3,3,2,4,2,3,5
2102,3/26/2024,4,1,5,2,4,1,1,3,5
2103,4/18/2024,2,1,2,4,1,3,5,3,4
2104,6/24/2024,1,1,5,1,3,2,2,3,1
2105,5/19/2024,1,4,2,2,4,2,5,4,4
2106,4/28/2024,1,2,4,1,2,4,1,2,5
2107,5/2/2024,2,5,3,5,2,4,2,5,5
2108,4/19/2024,4,3,5,2,5,2,4,1,3
2109,4/25/2024,3,1,1,1,2,5,3,2,4
2110,5/23/2024,2,2,5,5,1,4,4,5,4
2111,6/30/2024,3,5,2,2,2,5,3,3,1
2112,4/28/2024,3,5,5,3,5,3,4,3,2
2113,4/12/2024,5,3,1,2,2,5,4,2,5
2114,4/10/2024,2,2,1,5,4,1,3,1,1
2115,4/29/2024,2,1,3,5,3,1,4,3,5
2116,3/30/2024,3,3,4,5,2,5,4,3,4
2117,4/7/2024,5,3,5,5,5,3,5,1,3
2118,3/17/2024,3,2,5,1,4,3,3,1,5
2119,5/24/2024,1,3,4,5,2,3,1,1,1
2120,6/13/2024,5,5,2,4,1,3,3,4,2
2121,6/22/2024,5,4,1,3,4,4,4,4,1
2122,4/10/2024,4,2,1,5,3,3,1,3,3
2123,5/27/2024,4,1,4,2,2,2,2,4,4
2124,4/6/2024,3,1,5,4,4,4,1,2,5
2125,4/17/2024,2,3,2,2,3,1,5,1,5
2126,5/2/2024,3,5,2,4,5,2,2,2,2
2127,4/22/2024,2,4,2,4,3,3,1,3,4
2128,3/18/2024,4,1,3,4,3,4,5,5,4
2129,6/22/2024,3,4,5,2,4,5,2,5,3
2130,5/3/2024,3,4,1,2,4,4,1,2,4
2131,4/18/2024,3,5,3,3,1,5,1,3,5
2132,5/7/2024,3,1,5,3,2,4,5,3,5
2133,5/2/2024,3,3,4,3,1,3,4,3,4
2134,6/29/2024,1,3,5,3,4,5,2,1,5
2135,4/15/2024,5,3,5,4,5,1,3,4,1
2136,6/8/2024,1,2,3,3,4,2,2,3,1
2137,4/20/2024,2,5,1,5,1,4,5,1,4
2138,6/3/2024,3,4,3,1,5,3,5,5,4
2139,5/16/2024,1,1,4,3,5,4,2,2,3
2140,4/3/2024,5,1,1,1,5,1,5,4,1
2141,4/29/2024,2,2,5,2,3,1,3,1,5
2142,6/29/2024,2,4,5,1,3,4,1,1,4
2143,6/5/2024,5,1,2,2,5,1,5,3,4
2144,3/17/2024,3,1,4,3,3,5,5,5,5
2145,4/18/2024,4,5,2,1,1,1,1,3,5
2146,4/20/2024,3,2,4,4,1,3,5,3,5
2147,5/6/2024,3,4,3,1,3,4,1,5,3
2148,5/18/2024,1,3,4,1,2,1,2,5,4
2149,6/30/2024,4,1,2,5,4,5,1,5,4
2150,3/28/2024,2,4,2,3,1,4,1,4,1
2151,4/17/2024,1,1,2,2,5,5,1,5,3
2152,6/5/2024,5,3,4,2,5,5,4,4,2
2153,6/25/2024,1,3,2,4,4,5,1,3,3
2154,4/13/2024,5,2,3,2,5,2,5,1,3
2155,6/23/2024,2,3,4,2,5,1,2,4,3
2156,3/25/2024,3,1,2,2,1,1,5,2,1
2157,5/30/2024,2,3,2,4,4,3,5,5,4
2158,6/12/2024,5,2,3,3,4,4,1,2,4
2159,4/4/2024,1,3,1,4,5,3,3,5,2
2160,5/6/2024,2,2,3,3,4,1,1,5,5
2161,4/15/2024,4,5,1,5,3,3,2,2,1
2162,4/26/2024,5,4,2,1,1,4,3,2,4
2163,4/20/2024,2,2,3,3,1,3,2,5,1
2164,6/23/2024,5,4,5,3,5,1,3,2,5
2165,4/4/2024,3,2,3,3,5,1,1,4,2
2166,6/4/2024,2,4,4,1,1,1,3,3,5
2167,4/1/2024,5,4,1,5,3,1,5,5,1
2168,3/20/2024,5,5,2,3,2,1,4,3,1
2169,4/27/2024,1,2,2,1,1,1,2,1,4
2170,4/22/2024,4,4,4,2,3,4,1,2,1
2171,4/23/2024,5,1,2,2,3,5,4,2,1
2172,6/1/2024,5,1,3,4,1,1,1,5,4
2173,5/26/2024,5,1,3,4,5,3,1,1,2
2174,3/25/2024,3,1,4,3,2,1,2,5,4
2175,4/25/2024,5,4,3,5,5,4,4,1,4
2176,4/11/2024,1,3,1,3,1,5,3,4,4
2177,4/7/2024,2,3,3,1,4,5,3,1,5
2178,5/21/2024,5,5,5,3,2,2,2,3,2
2179,4/7/2024,3,3,3,3,5,2,1,3,3
2180,6/28/2024,4,3,4,3,2,4,5,5,3
2181,6/27/2024,3,2,3,4,4,3,1,1,5
2182,6/25/2024,3,5,5,4,4,5,1,2,2
2183,6/3/2024,2,5,3,5,3,3,3,2,5
2184,3/31/2024,5,4,4,1,2,5,3,5,4
2185,5/26/2024,4,1,1,5,4,5,5,1,1
2186,5/21/2024,5,5,2,2,4,3,4,4,4
2187,5/26/2024,5,4,2,3,1,1,2,4,2
2188,6/6/2024,1,4,5,1,2,5,4,4,2
2189,3/18/2024,3,4,2,2,1,5,5,4,1
2190,5/1/2024,4,2,3,5,4,3,4,1,4
2191,3/26/2024,4,5,4,4,1,5,4,5,5
2192,4/15/2024,3,1,4,2,3,3,2,5,3
2193,5/28/2024,2,5,5,4,1,4,3,4,4
2194,5/14/2024,1,4,3,1,2,1,3,3,2
2195,5/13/2024,2,4,5,4,1,5,4,1,5
2196,4/11/2024,3,5,1,3,2,2,3,5,2
2197,3/29/2024,5,1,1,4,1,4,5,3,3
2198,5/30/2024,4,2,2,4,2,5,4,1,2
2199,4/11/2024,4,1,3,1,3,5,4,1,5
2200,3/29/2024,1,4,4,4,4,2,3,3,2
2201,5/25/2024,2,1,4,4,5,4,2,5,2
2202,4/5/2024,4,2,1,4,3,1,1,2,5
2203,6/16/2024,3,5,4,2,2,3,2,2,2
2204,4/1/2024,1,2,3,3,3,1,3,3,3
2205,6/15/2024,3,1,3,5,2,2,3,4,5
2206,3/23/2024,1,3,2,1,2,2,4,4,1
2207,4/9/2024,5,4,5,4,4,4,4,3,4
2208,4/28/2024,1,1,5,1,4,5,2,5,1
2209,4/23/2024,4,4,5,2,1,1,3,4,3
2210,4/21/2024,3,1,3,2,3,1,2,3,2
2211,6/26/2024,5,5,5,5,3,1,5,5,5
2212,5/19/2024,3,1,3,1,5,4,4,3,3
2213,3/30/2024,1,2,1,1,3,5,1,4,4
2214,5/29/2024,5,2,5,5,2,1,1,5,2
2215,3/25/2024,4,2,1,2,5,5,2,2,1
2216,4/28/2024,3,5,3,2,2,5,4,2,5
2217,6/8/2024,3,5,1,5,1,5,1,3,3
2218,5/12/2024,4,2,5,4,5,4,5,2,4
2219,6/22/2024,1,2,1,2,2,2,5,5,3
2220,6/21/2024,3,3,1,4,4,3,5,3,5
2221,3/31/2024,3,1,2,2,2,2,5,2,2
2222,3/29/2024,1,2,3,3,5,1,2,4,1
2223,5/18/2024,3,1,1,1,3,2,2,5,2
2224,3/18/2024,1,1,5,3,5,1,2,5,2
2225,5/14/2024,4,2,4,2,4,2,1,5,4
2226,3/20/2024,1,5,3,1,5,5,5,1,2
2227,5/19/2024,2,2,5,2,1,4,3,3,4
2228,3/24/2024,3,2,1,5,2,3,4,3,2
2229,6/6/2024,5,5,2,4,2,3,1,5,4
2230,6/9/2024,5,1,4,2,5,1,2,2,4
2231,5/23/2024,3,1,3,5,4,2,2,3,1
2232,4/7/2024,1,3,3,4,5,2,4,5,2
2233,3/29/2024,2,4,1,5,3,5,3,1,1
2234,3/27/2024,4,4,2,4,2,2,1,5,1
2235,5/17/2024,3,3,5,4,5,2,3,2,2
2236,4/20/2024,4,4,4,2,4,1,4,1,3
2237,3/29/2024,2,5,5,2,2,5,3,2,4
2238,4/13/2024,4,1,1,3,2,2,2,4,3
2239,6/21/2024,2,5,5,3,4,1,3,5,5
2240,6/26/2024,2,2,1,2,3,2,2,4,1
2241,6/21/2024,1,5,2,3,3,3,2,3,3
2242,5/3/2024,2,5,1,1,2,2,5,3,4
2243,5/25/2024,4,2,2,1,3,1,3,2,2
2244,3/19/2024,5,2,3,1,4,5,2,5,4
2245,5/1/2024,5,3,2,3,3,5,2,5,3
2246,6/29/2024,3,3,3,3,5,3,1,1,3
2247,4/5/2024,1,5,2,1,5,2,4,2,5
2248,4/5/2024,4,5,5,3,2,2,1,4,4
2249,5/16/2024,5,5,3,1,1,1,3,4,3
2250,4/27/2024,3,4,1,2,3,3,5,3,4
2251,4/8/2024,5,4,5,3,5,5,5,5,3
2252,6/19/2024,4,5,2,5,3,4,2,4,4
2253,6/18/2024,4,1,1,2,4,5,2,4,2
2254,5/21/2024,4,5,5,2,1,4,5,4,1
2255,4/2/2024,4,2,3,1,2,5,1,5,3
2256,4/5/2024,4,4,3,1,2,1,5,1,1
2257,4/18/2024,4,5,5,2,2,5,3,5,3
2258,6/17/2024,4,3,5,5,2,3,1,4,5
2259,4/28/2024,1,3,4,2,4,2,3,1,3
2260,3/31/2024,1,1,1,4,3,1,2,5,1
2261,4/2/2024,2,3,4,5,2,4,2,3,5
2262,4/30/2024,2,3,3,4,1,1,1,1,4
2263,6/11/2024,5,1,1,1,1,3,4,4,5
2264,4/12/2024,1,1,4,1,1,1,2,2,3
2265,3/23/2024,5,1,2,2,1,2,5,1,4
2266,6/24/2024,2,1,5,2,2,4,2,5,4
2267,4/15/2024,1,1,2,1,3,2,1,5,3
2268,5/16/2024,4,4,2,3,3,3,1,2,1
2269,6/28/2024,2,3,3,3,2,1,5,3,5
2270,6/10/2024,4,3,3,5,4,5,3,4,1
2271,5/10/2024,2,2,3,5,5,1,3,3,4
2272,6/9/2024,2,3,3,1,5,2,3,2,3
